CustomerID,VehicleID,VehicleModel,VehicleYOM,VehicleMake
Cust10051,Vehicle33864,E400,2014,Dodge
Cust10052,Vehicle16314,Legacy,2002,Honda
Cust10053,Vehicle35570,Legacy,2000,Suburu
Cust10054,Vehicle13054,Ultima,2006,Audi
Cust10057,Vehicle23410,Legacy,2005,Suburu
Cust10058,Vehicle24044,92x,2005,BMW
Cust10059,Vehicle25575,X5,2006,BMW
Cust1006,Vehicle32811,95,2003,Saab
Cust10061,Vehicle14739,Highlander,2007,Mercedes
Cust10063,Vehicle23287,95,2007,Saab
Cust10064,Vehicle31400,Passat,2009,Volkswagen
Cust10065,Vehicle24321,Passat,2011,Volkswagen
Cust10067,Vehicle32820,Grand Cherokee,2010,Accura
Cust10068,Vehicle3932,Fusion,2011,Ford
Cust1007,Vehicle32845,Pathfinder,2012,Nissan
Cust10072,Vehicle35450,95,2002,Saab
Cust10073,Vehicle25696,95,2015,Saab
Cust10076,Vehicle25747,93,2009,Saab
Cust10078,Vehicle17205,E400,2006,Ford
Cust10079,Vehicle36160,E400,2005,Ford
Cust10080,Vehicle7847,A5,2002,Audi
Cust10081,Vehicle22413,A5,2004,Audi
Cust10082,Vehicle4416,Escape,2003,Honda
Cust10083,Vehicle2648,Civic,2001,Honda
Cust10084,Vehicle3533,Corolla,2003,Audi
Cust10085,Vehicle24833,Corolla,2004,Toyota
Cust10086,Vehicle8179,Wrangler,2006,Jeep
Cust10087,Vehicle26420,Forrestor,2002,Suburu
Cust10088,Vehicle35175,Silverado,2004,Chevrolet
Cust10089,Vehicle24958,RAM,2009,Dodge
Cust1009,Vehicle30643,Camry,2012,Toyota
Cust10090,Vehicle13414,X5,2000,Ford
Cust10091,Vehicle28521,X5,1999,BMW
Cust10092,Vehicle21302,M5,2008,BMW
Cust10093,Vehicle6499,M5,2007,BMW
Cust10094,Vehicle3524,3 Series,2005,Jeep
Cust10096,Vehicle35542,Tahoe,2003,Chevrolet
Cust10097,Vehicle16754,Tahoe,2003,Chevrolet
Cust10098,Vehicle4449,Grand Cherokee,2008,Jeep
Cust10099,Vehicle20644,C300,1995,Jeep
Cust1010,Vehicle3056,92x,1996,Saab
Cust10101,Vehicle29211,RAM,1997,Saab
Cust10104,Vehicle22206,ML350,2008,Audi
Cust10105,Vehicle27865,A3,2013,Mercedes
Cust10107,Vehicle16351,Grand Cherokee,2006,Jeep
Cust10108,Vehicle8336,Wrangler,1998,Suburu
Cust10109,Vehicle39646,Wrangler,1999,Suburu
Cust1011,Vehicle16951,F150,2002,Ford
Cust10110,Vehicle12651,RSX,2008,Accura
Cust10111,Vehicle17647,X5,2007,BMW
Cust10112,Vehicle21679,Jetta,1995,Chevrolet
Cust10113,Vehicle5082,Tahoe,1995,Volkswagen
Cust10114,Vehicle8028,Malibu,2002,Toyota
Cust10117,Vehicle10449,Corolla,2006,Toyota
Cust1012,Vehicle29180,A3,2006,Audi
Cust10120,Vehicle4618,X5,2012,BMW
Cust10121,Vehicle21925,X5,2012,BMW
Cust10123,Vehicle1957,Maxima,2011,Nissan
Cust10124,Vehicle10142,Escape,2012,Ford
Cust10125,Vehicle5297,Maxima,2011,Nissan
Cust10126,Vehicle15006,93,1996,Saab
Cust10127,Vehicle24996,Neon,1999,Dodge
Cust10128,Vehicle17625,93,2005,Saab
Cust10129,Vehicle18406,93,2005,Saab
Cust1013,Vehicle17919,95,2000,Saab
Cust10131,Vehicle14295,RAM,1999,Dodge
Cust10133,Vehicle25706,C300,2007,Honda
Cust10135,Vehicle12546,Neon,1996,Dodge
Cust10136,Vehicle26763,Legacy,1996,Honda
Cust10137,Vehicle32953,CRV,1997,Suburu
Cust10138,Vehicle26258,A5,2002,Audi
Cust1014,Vehicle14290,Highlander,2010,Toyota
Cust10140,Vehicle28473,Pathfinder,2010,Nissan
Cust10141,Vehicle17812,Pathfinder,2011,Nissan
Cust10142,Vehicle8695,95,2005,Dodge
Cust10143,Vehicle34945,95,2005,Dodge
Cust10144,Vehicle24268,RAM,1996,Dodge
Cust10145,Vehicle21157,Neon,2001,Dodge
Cust10146,Vehicle3452,Grand Cherokee,2008,Jeep
Cust10148,Vehicle33592,Malibu,2014,Chevrolet
Cust10149,Vehicle29577,Malibu,2014,Chevrolet
Cust1015,Vehicle13667,Neon,2003,Dodge
Cust10150,Vehicle34947,Grand Cherokee,2007,Jeep
Cust10152,Vehicle14864,Malibu,2009,Volkswagen
Cust10153,Vehicle39767,Jetta,2009,Chevrolet
Cust10154,Vehicle14027,Neon,2012,Ford
Cust10155,Vehicle31181,Fusion,2011,Dodge
Cust10156,Vehicle19932,RAM,2004,Dodge
Cust10157,Vehicle6069,RAM,2004,BMW
Cust10158,Vehicle3979,Camry,2006,Toyota
Cust10159,Vehicle4294,Camry,2008,Toyota
Cust10160,Vehicle20756,Tahoe,1996,Chevrolet
Cust10162,Vehicle9781,A3,2004,Audi
Cust10163,Vehicle7367,A3,2003,Audi
Cust10164,Vehicle30999,MDX,2003,Suburu
Cust10165,Vehicle29646,Forrestor,2002,Suburu
Cust10166,Vehicle28348,92x,2010,Saab
Cust10167,Vehicle39751,92x,2011,Saab
Cust10169,Vehicle9673,Escape,2006,Ford
Cust1017,Vehicle33419,Maxima,2012,Nissan
Cust10170,Vehicle14652,Neon,2010,Dodge
Cust10171,Vehicle14334,Neon,2008,Chevrolet
Cust10172,Vehicle35018,Wrangler,2001,Mercedes
Cust10173,Vehicle9426,E400,1999,Mercedes
Cust10177,Vehicle34749,Accord,2002,Honda
Cust10178,Vehicle24357,RSX,2013,Accura
Cust10179,Vehicle27553,RSX,2013,Saab
Cust1018,Vehicle25812,Legacy,2015,Suburu
Cust10180,Vehicle36979,Ultima,2006,Nissan
Cust10181,Vehicle28317,Ultima,2006,Suburu
Cust10183,Vehicle9177,M5,1995,BMW
Cust10185,Vehicle8845,Tahoe,2007,Chevrolet
Cust10187,Vehicle18528,Passat,2001,Volkswagen
Cust10188,Vehicle32140,Passat,2010,Volkswagen
Cust10189,Vehicle2786,Passat,2015,Volkswagen
Cust10190,Vehicle6283,Jetta,2006,Volkswagen
Cust10191,Vehicle38631,Jetta,2006,Volkswagen
Cust10192,Vehicle13306,Escape,2004,Dodge
Cust10193,Vehicle4652,Escape,2006,Ford
Cust10194,Vehicle12974,X6,1999,Nissan
Cust10195,Vehicle10558,Pathfinder,1999,Nissan
Cust10196,Vehicle15871,Maxima,2001,Ford
Cust10197,Vehicle36685,Fusion,2002,Nissan
Cust10199,Vehicle26968,Ultima,2014,Nissan
Cust10200,Vehicle24355,Fusion,2002,Ford
Cust10201,Vehicle16629,Tahoe,2005,Ford
Cust10202,Vehicle34204,MDX,2003,Volkswagen
Cust10203,Vehicle1551,MDX,2003,Accura
Cust10205,Vehicle17422,3 Series,2014,BMW
Cust10207,Vehicle15400,Wrangler,2008,Jeep
Cust10208,Vehicle24167,Fusion,2006,Ford
Cust10209,Vehicle38198,Maxima,2003,Ford
Cust1021,Vehicle4754,Impreza,2011,Suburu
Cust10210,Vehicle11189,Malibu,2005,Chevrolet
Cust10211,Vehicle10810,Malibu,2006,Chevrolet
Cust10214,Vehicle14214,C300,2012,Mercedes
Cust10215,Vehicle36390,ML350,2013,Mercedes
Cust10216,Vehicle9309,RAM,2001,Toyota
Cust10217,Vehicle7080,RAM,2003,Dodge
Cust10219,Vehicle4836,93,2006,Jeep
Cust1022,Vehicle35433,RSX,1996,Accura
Cust10220,Vehicle16613,M5,2011,Saab
Cust10221,Vehicle11516,M5,2011,Saab
Cust10222,Vehicle31445,Malibu,2013,BMW
Cust10223,Vehicle24132,3 Series,2014,BMW
Cust10224,Vehicle26846,Tahoe,2014,Toyota
Cust10225,Vehicle2030,Tahoe,2014,Toyota
Cust10226,Vehicle34196,MDX,2000,Accura
Cust10229,Vehicle2494,MDX,2002,???
Cust1023,Vehicle11236,Forrestor,2000,Suburu
Cust10231,Vehicle17356,95,2013,Saab
Cust10232,Vehicle22497,Civic,2005,Honda
Cust10233,Vehicle23388,Civic,2005,Honda
Cust10234,Vehicle2372,ML350,2014,Mercedes
Cust10235,Vehicle35911,ML350,2014,Mercedes
Cust10236,Vehicle12410,95,2004,Saab
Cust10237,Vehicle4262,95,2004,Saab
Cust10239,Vehicle4367,TL,2008,Accura
Cust1024,Vehicle21636,RAM,2011,Dodge
Cust10240,Vehicle14975,Grand Cherokee,1998,Jeep
Cust10241,Vehicle1503,Silverado,1997,Jeep
Cust10242,Vehicle35143,Ultima,2005,Accura
Cust10243,Vehicle30671,MDX,2009,Nissan
Cust10244,Vehicle4989,Passat,2009,Accura
Cust10246,Vehicle5783,Wrangler,2006,Jeep
Cust10247,Vehicle4272,Wrangler,2006,Honda
Cust10248,Vehicle37022,E400,2012,Toyota
Cust10249,Vehicle1627,E400,2005,Mercedes
Cust1025,Vehicle28373,Escape,2005,Ford
Cust10250,Vehicle7408,A3,2014,Audi
Cust10254,Vehicle7376,X5,1997,Nissan
Cust10256,Vehicle9508,Civic,1999,Honda
Cust10257,Vehicle23035,Civic,2000,Honda
Cust10259,Vehicle1809,Pathfinder,2000,Mercedes
Cust1026,Vehicle12606,Escape,2006,Ford
Cust10260,Vehicle33508,Silverado,2004,Chevrolet
Cust10262,Vehicle6734,Wrangler,2013,Jeep
Cust10264,Vehicle14921,Malibu,2011,Chevrolet
Cust10266,Vehicle23449,RAM,2001,Dodge
Cust10268,Vehicle10229,A5,2002,Audi
Cust10269,Vehicle28017,Pathfinder,1998,Nissan
Cust1027,Vehicle8279,Camry,2005,Toyota
Cust10270,Vehicle29116,X6,2000,Honda
Cust10272,Vehicle3244,CRV,2006,Ford
Cust10273,Vehicle18520,CRV,2010,Ford
Cust10274,Vehicle38312,Corolla,2007,Toyota
Cust10275,Vehicle23001,Corolla,2013,Toyota
Cust10276,Vehicle20338,M5,2006,BMW
Cust10277,Vehicle25382,M5,2007,Jeep
Cust10278,Vehicle26875,Jetta,2010,Volkswagen
Cust10279,Vehicle15167,Jetta,2007,Suburu
Cust1028,Vehicle26468,Forrestor,2003,Suburu
Cust10281,Vehicle22827,F150,2004,Nissan
Cust10283,Vehicle17963,MDX,2007,Jeep
Cust10285,Vehicle37144,TL,2001,Accura
Cust10286,Vehicle8577,MDX,2003,Accura
Cust10288,Vehicle38159,C300,2013,Mercedes
Cust10289,Vehicle31827,C300,2013,Mercedes
Cust10290,Vehicle5771,ML350,2012,Mercedes
Cust10291,Vehicle30562,ML350,2014,Mercedes
Cust10292,Vehicle17227,Pathfinder,2010,Nissan
Cust10293,Vehicle21251,Escape,2009,Ford
Cust10294,Vehicle36054,Jetta,2007,Volkswagen
Cust10295,Vehicle28335,Jetta,2006,Volkswagen
Cust10296,Vehicle17748,X6,1998,BMW
Cust10297,Vehicle14591,X6,1998,Nissan
Cust10298,Vehicle9753,A3,2012,Audi
Cust10299,Vehicle7186,A3,2014,Audi
Cust10302,Vehicle3914,E400,2012,Mercedes
Cust10303,Vehicle37549,E400,2008,Mercedes
Cust10306,Vehicle23224,RAM,1997,Dodge
Cust10307,Vehicle7843,Impreza,1996,Suburu
Cust10308,Vehicle6160,ML350,2005,Suburu
Cust1031,Vehicle8420,Corolla,2005,Toyota
Cust10312,Vehicle31360,TL,2011,Saab
Cust10314,Vehicle21856,3 Series,2003,BMW
Cust10315,Vehicle27105,X6,2001,BMW
Cust10316,Vehicle32778,Jetta,2000,Honda
Cust10317,Vehicle14412,CRV,1999,Honda
Cust10318,Vehicle23212,RSX,1997,Accura
Cust10319,Vehicle35560,RSX,1998,Accura
Cust10320,Vehicle6792,CRV,2009,Nissan
Cust10321,Vehicle37266,CRV,2009,Nissan
Cust10322,Vehicle25905,95,2013,Saab
Cust10323,Vehicle24243,95,2013,Saab
Cust10326,Vehicle6233,TL,2003,Nissan
Cust10327,Vehicle28455,Ultima,1999,Accura
Cust10328,Vehicle7363,Camry,2013,Toyota
Cust10329,Vehicle20999,Wrangler,2012,Toyota
Cust1033,Vehicle13702,3 Series,2008,BMW
Cust10330,Vehicle16401,Malibu,2003,Audi
Cust10332,Vehicle35471,Silverado,2004,Ford
Cust10333,Vehicle39824,Silverado,2006,Chevrolet
Cust10334,Vehicle31279,RAM,1998,Dodge
Cust10335,Vehicle37848,RAM,1997,Dodge
Cust10336,Vehicle4358,Grand Cherokee,2002,Jeep
Cust10337,Vehicle24441,Grand Cherokee,2002,Jeep
Cust10338,Vehicle5018,Neon,2006,Saab
Cust1034,Vehicle27544,Impreza,2015,Suburu
Cust10340,Vehicle16524,C300,2010,Mercedes
Cust10341,Vehicle27960,Highlander,2007,Toyota
Cust10343,Vehicle31488,Malibu,2005,Chevrolet
Cust10344,Vehicle30216,ML350,2011,Mercedes
Cust10345,Vehicle16911,3 Series,2012,BMW
Cust10347,Vehicle4037,Jetta,2000,Volkswagen
Cust10348,Vehicle19301,Pathfinder,2008,Jeep
Cust10349,Vehicle26380,Wrangler,2008,Nissan
Cust1035,Vehicle24965,A3,1999,Audi
Cust10350,Vehicle14696,MDX,2013,Accura
Cust10351,Vehicle34138,RAM,2005,Dodge
Cust10352,Vehicle34452,Highlander,2010,Toyota
Cust10353,Vehicle3712,Highlander,2009,Toyota
Cust10355,Vehicle12447,Camry,2008,BMW
Cust10356,Vehicle23650,A3,2005,Audi
Cust10358,Vehicle10937,Escape,2007,Ford
Cust1036,Vehicle32126,C300,1995,Mercedes
Cust10360,Vehicle21661,A5,2004,Audi
Cust10361,Vehicle34551,TL,2000,Accura
Cust10362,Vehicle2528,Fusion,2010,Ford
Cust10363,Vehicle38482,Fusion,2010,Ford
Cust10365,Vehicle23690,Corolla,2006,Toyota
Cust10366,Vehicle38055,Pathfinder,2010,Honda
Cust10368,Vehicle7791,Ultima,2000,Chevrolet
Cust10369,Vehicle28379,Ultima,1999,Chevrolet
Cust1037,Vehicle32274,Forrestor,2004,Suburu
Cust10370,Vehicle29456,Jetta,2014,Toyota
Cust10371,Vehicle32255,Jetta,2014,Toyota
Cust10373,Vehicle37979,RAM,2008,Dodge
Cust10375,Vehicle29570,RAM,2005,Dodge
Cust10376,Vehicle15098,A3,2005,Ford
Cust10377,Vehicle33344,Escape,2004,Audi
Cust10379,Vehicle24489,Tahoe,1996,Chevrolet
Cust1038,Vehicle19923,Legacy,2001,Suburu
Cust10382,Vehicle32775,Neon,2002,Ford
Cust10383,Vehicle27177,Neon,2002,Dodge
Cust10384,Vehicle31281,RAM,2003,Dodge
Cust10385,Vehicle24841,RAM,2003,Dodge
Cust10386,Vehicle22864,92x,2007,Saab
Cust10388,Vehicle4611,93,2004,Saab
Cust10389,Vehicle5310,93,2005,Saab
Cust1039,Vehicle35978,Wrangler,2007,Jeep
Cust10390,Vehicle34821,Escape,2001,Ford
Cust10391,Vehicle22645,Escape,2000,Ford
Cust10393,Vehicle19583,MDX,2004,Accura
Cust10394,Vehicle23575,A5,2008,Toyota
Cust10395,Vehicle38833,A5,2006,Audi
Cust10397,Vehicle31662,MDX,1996,Accura
Cust10398,Vehicle19261,A3,2010,Audi
Cust1040,Vehicle6812,Pathfinder,2011,Nissan
Cust10400,Vehicle11812,RSX,2001,Nissan
Cust10401,Vehicle5773,RSX,1999,Accura
Cust10402,Vehicle27378,Jetta,1999,Volkswagen
Cust10403,Vehicle8149,Jetta,1998,Volkswagen
Cust10404,Vehicle36053,A5,1998,Audi
Cust10405,Vehicle18230,Neon,2010,Audi
Cust10406,Vehicle2760,Corolla,2006,Toyota
Cust10407,Vehicle39537,Corolla,2008,Toyota
Cust10408,Vehicle33235,Tahoe,2012,Chevrolet
Cust10409,Vehicle39663,Tahoe,2007,Chevrolet
Cust1041,Vehicle13660,M5,2010,BMW
Cust10412,Vehicle26894,Passat,2005,Audi
Cust10414,Vehicle18169,Camry,2008,Toyota
Cust10417,Vehicle23242,Civic,1997,Honda
Cust10419,Vehicle6940,Passat,2010,Jeep
Cust1042,Vehicle34411,X5,2001,BMW
Cust10420,Vehicle37907,Wrangler,2007,Jeep
Cust10421,Vehicle18607,Wrangler,2006,Jeep
Cust10423,Vehicle16388,93,2007,Jeep
Cust10428,Vehicle5658,RAM,1996,Dodge
Cust10429,Vehicle4334,RAM,1996,Nissan
Cust1043,Vehicle21073,RAM,2010,Dodge
Cust10430,Vehicle36762,E400,1999,Mercedes
Cust10431,Vehicle28153,E400,2000,Mercedes
Cust10432,Vehicle33669,Fusion,2010,Ford
Cust10433,Vehicle14316,Neon,2004,Ford
Cust10434,Vehicle33331,F150,2010,Toyota
Cust10436,Vehicle19263,CRV,2007,Honda
Cust10438,Vehicle17958,MDX,2004,Saab
Cust10439,Vehicle17663,MDX,2003,Saab
Cust1044,Vehicle38747,E400,2005,Mercedes
Cust10440,Vehicle30792,Neon,2006,Dodge
Cust10441,Vehicle34588,Neon,2006,Accura
Cust10443,Vehicle17535,A3,2003,Toyota
Cust10444,Vehicle9438,95,1999,Saab
Cust10445,Vehicle3136,95,1998,Saab
Cust10446,Vehicle34541,A5,2000,Audi
Cust10447,Vehicle36212,A5,1997,Audi
Cust10448,Vehicle29350,Ultima,2013,Jeep
Cust10449,Vehicle36151,Ultima,2010,Jeep
Cust10450,Vehicle29159,ML350,2005,Dodge
Cust10452,Vehicle31202,Jetta,2000,Suburu
Cust10453,Vehicle12424,Jetta,2000,Volkswagen
Cust10454,Vehicle18312,92x,1999,Saab
Cust10455,Vehicle5856,92x,2000,Saab
Cust10456,Vehicle12442,Malibu,2009,Volkswagen
Cust10457,Vehicle4047,Jetta,2009,Chevrolet
Cust10458,Vehicle21453,F150,2009,Honda
Cust10459,Vehicle26350,F150,2008,Ford
Cust1046,Vehicle25324,MDX,2002,Accura
Cust10460,Vehicle21104,Neon,2001,Dodge
Cust10461,Vehicle18479,Neon,2004,Dodge
Cust10463,Vehicle23248,Escape,2004,Suburu
Cust10464,Vehicle3678,CRV,2004,Honda
Cust10465,Vehicle11913,93,2005,Honda
Cust10466,Vehicle34122,Wrangler,2009,Jeep
Cust10467,Vehicle14521,Wrangler,2009,Jeep
Cust10468,Vehicle18507,Wrangler,1999,Jeep
Cust10469,Vehicle34863,Wrangler,2004,Jeep
Cust1047,Vehicle29779,Civic,2014,Honda
Cust10471,Vehicle39782,M5,2007,BMW
Cust10472,Vehicle11557,TL,2003,Accura
Cust10474,Vehicle30717,F150,2011,Ford
Cust10475,Vehicle17741,F150,2010,Ford
Cust10478,Vehicle16064,MDX,2004,Suburu
Cust1048,Vehicle30845,A3,2003,Audi
Cust10480,Vehicle7461,Wrangler,2014,Jeep
Cust10481,Vehicle6589,Wrangler,2012,Jeep
Cust10482,Vehicle37203,Neon,2007,Dodge
Cust10484,Vehicle27984,CRV,2011,Jeep
Cust10485,Vehicle9337,Wrangler,2011,Jeep
Cust10487,Vehicle33282,95,1999,Saab
Cust10488,Vehicle18551,TL,2003,Accura
Cust10489,Vehicle9227,TL,2001,Ford
Cust1049,Vehicle28243,Passat,1995,Volkswagen
Cust10490,Vehicle29733,A5,1997,Audi
Cust10492,Vehicle6411,Camry,2007,Toyota
Cust10493,Vehicle25806,Camry,2007,Toyota
Cust10494,Vehicle16266,X5,2005,Nissan
Cust10495,Vehicle33490,X5,2005,Nissan
Cust10496,Vehicle8863,Wrangler,2011,Jeep
Cust10498,Vehicle3492,F150,2002,Ford
Cust10499,Vehicle24513,F150,2000,Ford
Cust1050,Vehicle28023,C300,2000,Mercedes
Cust10500,Vehicle4036,RAM,2005,Dodge
Cust10501,Vehicle31282,RAM,2006,Dodge
Cust10503,Vehicle8850,Neon,2012,Dodge
Cust10504,Vehicle30864,Corolla,1999,Toyota
Cust10505,Vehicle7249,Corolla,1996,Toyota
Cust10506,Vehicle17476,Wrangler,2007,Jeep
Cust10509,Vehicle20780,A3,2006,Audi
Cust1051,Vehicle7524,Pathfinder,1998,Nissan
Cust10510,Vehicle19154,CRV,2003,Honda
Cust10511,Vehicle39177,CRV,2010,Honda
Cust10512,Vehicle12581,Fusion,2010,Ford
Cust10513,Vehicle27014,Fusion,2003,Ford
Cust10517,Vehicle16236,TL,1996,Accura
Cust10518,Vehicle35172,93,2012,Honda
Cust10520,Vehicle32082,Passat,2008,Accura
Cust10522,Vehicle7437,Silverado,2007,Chevrolet
Cust10524,Vehicle12886,92x,2006,Saab
Cust10525,Vehicle18578,92x,2000,Saab
Cust10526,Vehicle34072,A3,2001,Saab
Cust10527,Vehicle23503,A3,2001,Audi
Cust10528,Vehicle33061,CRV,2003,Audi
Cust10529,Vehicle30477,CRV,2002,Honda
Cust1053,Vehicle20940,Corolla,2000,Toyota
Cust10530,Vehicle39157,92x,1996,Saab
Cust10531,Vehicle24019,92x,1996,Saab
Cust10532,Vehicle36534,X6,2013,Honda
Cust10533,Vehicle16536,Civic,2001,BMW
Cust10535,Vehicle35147,Grand Cherokee,2005,Jeep
Cust10536,Vehicle7464,Escape,1998,Toyota
Cust10538,Vehicle22526,A3,2014,Audi
Cust10539,Vehicle17778,A3,2013,Audi
Cust1054,Vehicle37970,Forrestor,1999,Suburu
Cust10541,Vehicle22261,Accord,2005,Honda
Cust10542,Vehicle20585,Legacy,2006,Volkswagen
Cust10543,Vehicle9936,Jetta,2006,Suburu
Cust10544,Vehicle4438,Maxima,1999,Nissan
Cust10545,Vehicle16707,Maxima,1997,Nissan
Cust10546,Vehicle23556,E400,1995,Mercedes
Cust10547,Vehicle26457,E400,1996,Mercedes
Cust10548,Vehicle36799,Malibu,2000,Chevrolet
Cust1055,Vehicle9986,F150,2009,Ford
Cust10550,Vehicle21111,Ultima,1997,Chevrolet
Cust10551,Vehicle10430,Ultima,1997,Chevrolet
Cust10552,Vehicle22742,Wrangler,2015,Jeep
Cust10554,Vehicle8713,E400,2002,Honda
Cust10555,Vehicle24890,Accord,2005,Honda
Cust10556,Vehicle19100,Neon,1998,Dodge
Cust10558,Vehicle37505,A3,2003,Audi
Cust10561,Vehicle31000,A5,2009,Audi
Cust10562,Vehicle5896,Jetta,2004,Volkswagen
Cust10563,Vehicle23884,92x,2007,Volkswagen
Cust10564,Vehicle17217,RAM,2001,Dodge
Cust10565,Vehicle1725,RAM,2000,Dodge
Cust10567,Vehicle13194,RAM,2015,Dodge
Cust10568,Vehicle3730,MDX,2006,Volkswagen
Cust1057,Vehicle17075,CRV,2014,Honda
Cust10572,Vehicle28051,Pathfinder,1999,Nissan
Cust10573,Vehicle27568,Neon,1998,Nissan
Cust10575,Vehicle16892,Tahoe,2013,Chevrolet
Cust10576,Vehicle22746,Forrestor,1997,Suburu
Cust10577,Vehicle1803,Forrestor,1997,Suburu
Cust10578,Vehicle21855,Silverado,2002,Chevrolet
Cust1058,Vehicle17981,Silverado,2014,Chevrolet
Cust10580,Vehicle33548,A5,2006,Audi
Cust10581,Vehicle26059,92x,2001,Saab
Cust10583,Vehicle38611,RAM,2006,Dodge
Cust10584,Vehicle29464,TL,2012,Accura
Cust10585,Vehicle2002,RSX,2012,Accura
Cust10586,Vehicle28401,Wrangler,2015,Jeep
Cust10588,Vehicle23574,Jetta,2000,Volkswagen
Cust10589,Vehicle1747,Jetta,2001,Volkswagen
Cust1059,Vehicle25716,93,2007,Saab
Cust10590,Vehicle32531,Pathfinder,2006,Nissan
Cust10591,Vehicle2385,Pathfinder,2007,Saab
Cust10592,Vehicle39138,Legacy,1998,Suburu
Cust10593,Vehicle23445,Legacy,1998,Suburu
Cust10595,Vehicle13274,M5,2006,BMW
Cust10596,Vehicle8666,Legacy,2006,Accura
Cust10597,Vehicle31246,Legacy,2005,Accura
Cust10598,Vehicle36361,X5,2004,BMW
Cust1060,Vehicle31805,Escape,2000,Ford
Cust10600,Vehicle2660,Wrangler,2010,Audi
Cust10601,Vehicle27404,A3,2012,Jeep
Cust10602,Vehicle38664,A3,1997,Audi
Cust10603,Vehicle4099,RAM,1996,Dodge
Cust10604,Vehicle23460,Wrangler,2005,Jeep
Cust10605,Vehicle23317,Wrangler,2001,Jeep
Cust10606,Vehicle28460,Fusion,2004,Ford
Cust10607,Vehicle8316,F150,2003,Ford
Cust10608,Vehicle36148,E400,1996,Mercedes
Cust1061,Vehicle38767,Maxima,2014,Nissan
Cust10610,Vehicle32451,TL,2000,Accura
Cust10612,Vehicle28217,Tahoe,2001,Chevrolet
Cust10614,Vehicle1545,E400,2005,Jeep
Cust10616,Vehicle35692,3 Series,2013,BMW
Cust10617,Vehicle15359,3 Series,2012,BMW
Cust10618,Vehicle28750,Neon,1995,Dodge
Cust1062,Vehicle35698,Accord,1997,Honda
Cust10621,Vehicle29495,Wrangler,1997,Jeep
Cust10622,Vehicle10594,MDX,1998,Accura
Cust10623,Vehicle25848,MDX,1999,Accura
Cust10625,Vehicle28436,93,2004,Saab
Cust10626,Vehicle13007,Maxima,2000,Nissan
Cust10628,Vehicle11496,Tahoe,2000,Nissan
Cust10630,Vehicle11339,RAM,2012,Dodge
Cust10631,Vehicle11008,RAM,2012,Mercedes
Cust10632,Vehicle17730,Forrestor,2002,Suburu
Cust10633,Vehicle19835,Forrestor,1999,Suburu
Cust10634,Vehicle27854,Impreza,2011,Nissan
Cust10635,Vehicle32986,Impreza,2008,Nissan
Cust10636,Vehicle3044,Wrangler,2008,Jeep
Cust10637,Vehicle32395,Wrangler,2002,Jeep
Cust10638,Vehicle27580,Forrestor,2004,Suburu
Cust10639,Vehicle10579,Forrestor,2007,Suburu
Cust1064,Vehicle12928,Legacy,2003,Suburu
Cust10640,Vehicle21739,Highlander,2008,Audi
Cust10641,Vehicle15082,Highlander,2006,Audi
